rct_id,rct_author,rct_regnr,cr_id,extracted_pmid,extracted_doi,extracted_nct,match_type,match_confidence,matched_pmid,matched_doi,matched_source,matched_title,notes
RCT019,"Jaffe, 2019",NCT01694186,CD010469.PUB3,,,NCT01694186,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01694186, cr=CD010469.PUB3, author=Jaffe, year=2019"
RCT020,"Pressler, 2018",NCT01935297,CD010876.PUB3,,,NCT01935297,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01935297, cr=CD010876.PUB3, author=Pressler, year=2018"
RCT021,"Tavakoli Ardakani, 2019",IRCT201310083210N4,CD011006.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD011006.PUB4, author=Tavakoli, year=2019"
RCT022,"Manley, 2019",ACTRN12614001203640,CD011010.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD011010.PUB2, author=Manley, year=2019"
RCT023,"Milesi, 2017",NCT02457013,CD011010.PUB2,,,NCT02457013,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02457013, cr=CD011010.PUB2, author=Milesi, year=2017"
RCT024,"Lorenzini, 2021",,CD011019.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD011019.PUB4, author=Lorenzini, year=2021"
RCT025,"Wansink, 2013a",,CD012573.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD012573.PUB3, author=Wansink, year=-"
RCT026,"Barrot, 2020",NCT02713451,CD012631.PUB3,,,NCT02713451,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02713451, cr=CD012631.PUB3, author=Barrot, year=2020"
RCT027,"Yang, 2019",NCT02999932,CD012631.PUB3,,,NCT02999932,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02999932, cr=CD012631.PUB3, author=Yang, year=2019"
RCT028,"Torrazza, 2015",,CD012937.PUB3,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD012937.PUB3, author=Torrazza, year=2015"
RCT029,"Salas, 2015",NCT01420263,CD012940.PUB3,,,NCT01420263,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01420263, cr=CD012940.PUB3, author=Salas, year=2015"
RCT030,"Hung, 2021",,CD013127.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013127.PUB2, author=Hung, year=2021"
RCT031,"Burns, 2017",ACTRN12614000861651,CD013127.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013127.PUB2, author=Burns, year=2017"
RCT032,"Wang, 2018",NCT01276314,CD013130.PUB2,,,NCT01276314,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01276314, cr=CD013130.PUB2, author=Wang, year=2018"
RCT033,"Bazzano, 2014",NCT00609271,CD013334.PUB2,,,NCT00609271,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT00609271, cr=CD013334.PUB2, author=Bazzano, year=2014"
RCT034,"Veum, 2017",NCT01750021,CD013334.PUB2,,,NCT01750021,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01750021, cr=CD013334.PUB2, author=Veum, year=2017"
RCT035,"Brown, 2018",ISRCTN24274245,CD013380.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013380.PUB2, author=Brown, year=2018"
RCT036,"Pinder, 2021",ISRCTN02622179,CD013398.PUB4,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013398.PUB4, author=Pinder, year=2021"
RCT037,"Avila, 2016",,CD013400.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013400.PUB2, author=Avila, year=2016"
RCT038,"Sandberg, 2018",NCT01671566,CD013400.PUB2,,,NCT01671566,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01671566, cr=CD013400.PUB2, author=Sandberg, year=2018"
RCT039,"Markova, 2018",2015-004451-40,CD013444.PUB2,,,,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=-, cr=CD013444.PUB2, author=Markova, year=2018"
RCT040,"Thalange, 2013",NCT00435019,CD013498.PUB2,,,NCT00435019,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT00435019, cr=CD013498.PUB2, author=Thalange, year=2013"
RCT041,"Friedlander, 2018",NCT02782169,CD013525.PUB2,,,NCT02782169,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT02782169, cr=CD013525.PUB2, author=Friedlander, year=2018"
RCT042,"McClanahan, 2019",NCT01375205,CD013534.PUB3,,,NCT01375205,none,none,,,,,"No PMID, DOI, or Cochrane-review match. Extracted: pmid=-, doi=-, nct=NCT01375205, cr=CD013534.PUB3, author=McClanahan, year=2019"
