source,model,protocol,pass,kind,domain,n,raw_agr,k_unw,k_lin,k_quad,ci_lin_lo,ci_lin_hi,ci_quad_lo,ci_quad_hi
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d3,78,0.46153846153846156,0.1275632490013316,0.1714426877470355,0.2425550280535171,0.07763496143958869,0.291952894995093,0.09667673716012067,0.40262582056892765
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d4,78,0.44871794871794873,0.16421629703463747,0.18523676880222856,0.21968150265414463,0.07312614259597792,0.3107511045655377,0.07553234230614707,0.37457044673539525
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d5,78,0.358974358974359,0.06024096385542173,0.06474820143884909,0.07363420427553426,0.013365155131264772,0.12230919765166348,0.015055852355512087,0.13500482160077126
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,overall,78,0.46153846153846156,0.08873435326842842,0.08235294117647042,0.07096774193548364,-0.010944700460829486,0.1901639344262294,-0.08424599831508008,0.2175657601426661
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d1,78,0.28205128205128205,0.010197144799456128,0.010869565217391361,0.012211668928086747,0.0,0.037685060565276096,-6.414621920056462e-16,0.041126508717031544
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d2,78,0.4358974358974359,0.10251046025104606,0.11637487126673533,0.14285714285714296,-0.016871165644171692,0.24040066777963282,0.004640371229698502,0.27262753702687914
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d3,78,0.48717948717948717,0.13931034482758617,0.18584521384928718,0.26025584472871643,0.08723404255319146,0.31353135313531333,0.1119063109954451,0.4267260579064592
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d4,78,0.4358974358974359,0.1447794667331174,0.18523676880222856,0.2515312372396896,0.040000000000000195,0.324521422060164,0.05186385737439213,0.4267185473411157
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d5,78,0.358974358974359,0.0645238666346846,0.061792452830188735,0.05659516202647202,0.009108341323106416,0.12218649517684879,-0.012987012987013411,0.12556053811659187
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,overall,78,0.48717948717948717,0.13621262458471758,0.1553090332805072,0.18867924528301944,0.034542314335060616,0.2834645669291339,0.012948793407887193,0.34205933682373485
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d1,78,0.41025641025641024,0.13270485859318348,0.15373961218836563,0.19059720457433302,0.059664895790764144,0.2730661696178937,0.06335403726708065,0.335981838819523
